Datum;Infizierte;Tote
01-22-2020;1;0
01-23-2020;1;0
01-24-2020;2;0
01-25-2020;2;0
01-26-2020;3;0
01-27-2020;4;0
01-28-2020;4;0
01-29-2020;4;0
01-30-2020;4;0
01-31-2020;11;0
02-01-2020;12;0
02-02-2020;15;0
02-03-2020;15;0
02-04-2020;16;0
02-05-2020;19;0
02-06-2020;23;0
02-07-2020;24;0
02-08-2020;24;0
02-09-2020;25;0
02-10-2020;27;0
02-11-2020;28;0
02-12-2020;28;0
02-13-2020;28;0
02-14-2020;28;0
02-15-2020;28;0
02-16-2020;29;0
02-17-2020;30;0
02-18-2020;31;0
02-19-2020;31;0
02-20-2020;104;1
02-21-2020;204;2
02-22-2020;433;2
02-23-2020;602;6
02-24-2020;833;8
02-25-2020;977;10
02-26-2020;1261;12
02-27-2020;1766;13
02-28-2020;2337;13
02-29-2020;3150;16
03-01-2020;3736;17
03-02-2020;4335;28
03-03-2020;5186;28
03-04-2020;5621;35
03-05-2020;6088;35
03-06-2020;6593;42
03-07-2020;7041;44
03-08-2020;7314;50
03-09-2020;7478;53
03-10-2020;7513;54
03-11-2020;0;0
03-12-2020;0;0
03-13-2020;0;0
03-14-2020;0;0
03-15-2020;0;0
03-16-2020;0;0
03-17-2020;0;0
03-18-2020;0;0
03-19-2020;0;0
03-20-2020;0;0
03-21-2020;0;0
